listing_type,tenant_rating,bedrooms,bathrooms,monthly_rent
Entire home/apt,5,1,1,1130
Private room,5,1,1,690
Entire home/apt,5,1,1,750
Entire home/apt,4.5,1,1,550
Entire home/apt,4,0,1,900
Entire home/apt,5,1,1,1350
Entire home/apt,5,0,1,750
Entire home/apt,5,2,1,1500
Entire home/apt,4.5,1,1,2000
Entire home/apt,5,3,3,1740
Entire home/apt,4.5,0,1,1450
Entire home/apt,4.5,4,2,1200
Entire home/apt,5,2,1,1600
Shared room,5,1,3.5,650
Shared room,4.5,1,3.5,650
Entire home/apt,5,2,2,2690
Entire home/apt,5,2,1,1250
Private room,5,1,1,490
Private room,5,1,1,500
Private room,5,1,1.5,1110
Private room,5,1,1,1050
Entire home/apt,4,0,1,900
Entire home/apt,5,1,1,800
Entire home/apt,5,3,2,1520
Entire home/apt,5,1,1,850
Entire home/apt,5,1,1,980
Private room,5,1,1,450
Entire home/apt,5,1,1,900
Entire home/apt,,1,1,3000
Entire home/apt,4.5,1,1,1290
Entire home/apt,5,3,2,2250
Entire home/apt,4.5,1,1,1000
Entire home/apt,5,1,1,650
Entire home/apt,5,1,1,840
Entire home/apt,5,3,2,2450
Private room,5,1,1,400
Entire home/apt,5,0,0.5,420
Entire home/apt,5,1,1,1780
Entire home/apt,5,1,1,450
Entire home/apt,5,1,1,800
Entire home/apt,5,3,2,3450
Entire home/apt,5,1,1,1150
Entire home/apt,5,1,1,900
Entire home/apt,5,1,1,1850
Shared room,4.5,1,3.5,650
Shared room,5,1,3.5,650
Shared room,4.5,1,3.5,650
Private room,4.5,1,1,1250
Shared room,5,1,3.5,650
Shared room,4.5,1,3.5,650
Shared room,5,1,3.5,650
Entire home/apt,4.5,2,1,690
Private room,5,1,1,560
Entire home/apt,5,2,1,740
Entire home/apt,5,1,1,1000
Shared room,4.5,1,1,600
Entire home/apt,5,1,1,1100
Entire home/apt,5,1,1,950
Private room,4.5,1,1,450
Entire home/apt,5,1,1,550
Entire home/apt,4.5,1,1,1400
Shared room,4.5,1,3.5,650
Entire home/apt,5,3,2.5,700
Private room,5,1,1,650
Entire home/apt,5,2,1,1790
Entire home/apt,5,1,1,950
